net,length_um
net23,98.46µm
clknet_1_0__leaf_osc_ck,95.27µm
net24,86.61µm
net22,82.56µm
net26,67.52µm
clknet_1_1__leaf_osc_ck,55.965µm
net25,54.89µm
cnt_st\[0\],52.56µm
_049_,49.85µm
cnt_st\[1\],47.96µm
net5,41.2µm
_043_,41.105µm
_036_,35.89µm
net4,34.2µm
cnt_por\[0\],33.74µm
osc_ck,32.85µm
net6,32.4µm
net21,31.18µm
_037_,30.08µm
cnt_por\[2\],29.23µm
cnt_por\[1\],28.88µm
_045_,28.275µm
_024_,28.21µm
net7,27.915µm
_035_,25.7µm
cnt_st\[3\],23.66µm
cnt_por\[4\],23.485µm
_025_,22.98µm
cnt_por\[6\],22.94µm
_039_,21.46µm
clknet_0_osc_ck,19.74µm
cnt_por\[8\],19.3µm
_020_,19.02µm
_040_,18.58µm
_032_,18.34µm
cnt_por\[3\],17.36µm
cnt_por\[5\],17.36µm
cnt_por\[7\],17.08µm
_034_,16.82µm
cnt_st\[2\],16.38µm
_012_,16.06µm
_041_,15.82µm
_017_,15.69µm
osc_ena,15.41µm
por_timed_out,14.61µm
otrip_decoded[1],14.4µm
otrip_decoded[4],14.4µm
cnt_st\[5\],13.8µm
cnt_st\[4\],13.5µm
cnt_por\[10\],13.14µm
_047_,13.12µm
cnt_rsb,12.92µm
net8,12.74µm
_044_,12.72µm
_030_,12.62µm
_033_,12.38µm
net17,12.18µm
net16,12.02µm
_005_,11.42µm
otrip[2],11.02µm
net28,10.9µm
net33,10.2µm
pwup_filt,9.99µm
net31,9.98µm
_022_,9.54µm
otrip_decoded[7],9.42µm
_023_,9.32µm
por_unbuf,9.18µm
_013_,9.08µm
net37,9.02µm
cnt_rsb_stg1,8.98µm
otrip_decoded[0],8.96µm
otrip_decoded[2],8.96µm
otrip_decoded[3],8.96µm
otrip_decoded[5],8.96µm
otrip_decoded[6],8.96µm
net36,8.9µm
otrip[0],8.72µm
otrip[1],8.72µm
net20,8.56µm
_008_,8.1µm
_026_,8.06µm
net10,8.02µm
startup_timed_out,7.79µm
net2,7.14µm
net35,7.1µm
net11,7.06µm
_018_,6.78µm
net19,6.6µm
_019_,6.58µm
_000_,6.3µm
force_pdn,5.75µm
net40,5.68µm
_001_,5.52µm
_007_,5.4µm
_002_,5.38µm
_028_,5.34µm
force_dis_rc_osc,5.29µm
force_ena_rc_osc,5.29µm
net18,5.22µm
force_pdnb,5.07µm
_014_,4.825µm
cnt_por\[9\],4.8µm
force_short_oneshot,4.61µm
_010_,4.54µm
net3,4.34µm
_016_,4.22µm
_046_,4.22µm
_027_,4.08µm
_038_,3.98µm
net29,3.725µm
net41,3.66µm
_029_,3.64µm
_011_,3.54µm
_048_,3.42µm
net14,3.42µm
_031_,3.08µm
net12,3.08µm
_021_,2.76µm
_003_,2.74µm
net9,2.64µm
net39,2.64µm
net32,2.62µm
net13,2.5µm
_004_,2.46µm
_009_,2.28µm
_042_,2.16µm
net15,2.16µm
net30,2.16µm
net38,2.16µm
net1,2.06µm
_006_,1.82µm
net27,1.82µm
net34,1.38µm
net42,1.38µm
_015_,1.08µm
