Instance name, X location, Y location, Voltage
_126_, 15.33, 32.64, 2.45066e-06
output19, 15.33, 32.64, 2.45066e-06
hold2, 15.33, 32.64, 2.45066e-06
_052_, 34.24, 32.64, 2.65162e-06
_053_, 34.24, 32.64, 2.65162e-06
_054_, 34.24, 32.64, 2.65162e-06
_076_, 34.24, 32.64, 2.65162e-06
_092_, 34.24, 32.64, 2.65162e-06
clkbuf_1_1__f_osc_ck, 34.24, 32.64, 2.65162e-06
FILLER_0_7_53, 34.24, 32.64, 2.65162e-06
_081_, 43.34, 32.64, 2.79158e-06
_082_, 43.34, 32.64, 2.79158e-06
_087_, 43.34, 32.64, 2.79158e-06
FILLER_0_8_90, 43.34, 32.64, 2.79158e-06
FILLER_0_9_92, 43.34, 32.64, 2.79158e-06
_069_, 5.52, 27.2, 1.50799e-06
_131_, 5.52, 27.2, 1.50799e-06
PHY_EDGE_ROW_5_Left_22, 5.52, 27.2, 1.50799e-06
PHY_EDGE_ROW_6_Left_23, 5.52, 27.2, 1.50799e-06
PHY_EDGE_ROW_5_Right_5, 52.44, 27.2, 1.41601e-06
PHY_EDGE_ROW_6_Right_6, 52.44, 27.2, 1.41601e-06
input4, 52.44, 27.2, 1.41601e-06
FILLER_0_6_93, 52.44, 27.2, 1.41601e-06
_074_, 15.33, 27.2, 1.39788e-06
_113_, 15.33, 27.2, 1.39788e-06
input8, 15.33, 27.2, 1.39788e-06
output10, 15.33, 27.2, 1.39788e-06
_079_, 34.24, 27.2, 1.40365e-06
_080_, 34.24, 27.2, 1.40365e-06
_117_, 34.24, 27.2, 1.40365e-06
FILLER_0_6_85, 43.34, 27.2, 1.40984e-06
FILLER_0_7_90, 43.34, 27.2, 1.40984e-06
_051_, 5.52, 21.76, 8.66402e-07
_130_, 5.52, 21.76, 8.66402e-07
PHY_EDGE_ROW_3_Left_20, 5.52, 21.76, 8.66402e-07
PHY_EDGE_ROW_4_Left_21, 5.52, 21.76, 8.66402e-07
input1, 5.52, 21.76, 8.66402e-07
PHY_EDGE_ROW_3_Right_3, 52.44, 21.76, 1.04832e-06
PHY_EDGE_ROW_4_Right_4, 52.44, 21.76, 1.04832e-06
FILLER_0_3_93, 52.44, 21.76, 1.04832e-06
_072_, 15.33, 21.76, 7.56337e-07
FILLER_0_4_23, 15.33, 21.76, 7.56337e-07
_078_, 34.24, 21.76, 1.00487e-06
_083_, 34.24, 21.76, 1.00487e-06
_118_, 34.24, 21.76, 1.00487e-06
hold3, 34.24, 21.76, 1.00487e-06
FILLER_0_3_53, 34.24, 21.76, 1.00487e-06
FILLER_0_3_57, 34.24, 21.76, 1.00487e-06
fanout23, 43.34, 21.76, 1.0483e-06
FILLER_0_4_77, 43.34, 21.76, 1.0483e-06
_050_, 5.52, 16.32, 2.07939e-07
PHY_EDGE_ROW_1_Left_18, 5.52, 16.32, 2.07939e-07
PHY_EDGE_ROW_2_Left_19, 5.52, 16.32, 2.07939e-07
input3, 5.52, 16.32, 2.07939e-07
output9, 5.52, 16.32, 2.07939e-07
_130__27, 5.52, 16.32, 2.07939e-07
PHY_EDGE_ROW_1_Right_1, 52.44, 16.32, 1.49965e-07
PHY_EDGE_ROW_2_Right_2, 52.44, 16.32, 1.49965e-07
FILLER_0_1_96, 52.44, 16.32, 1.49965e-07
output12, 15.33, 16.32, 1.84006e-07
FILLER_0_2_18, 15.33, 16.32, 1.84006e-07
FILLER_0_3_25, 15.33, 16.32, 1.84006e-07
_064_, 34.24, 16.32, 1.49911e-07
FILLER_0_2_79, 43.34, 16.32, 1.49942e-07
PHY_EDGE_ROW_0_Left_17, 5.52, 10.88, 2.52128e-07
PHY_EDGE_ROW_0_Right_0, 52.44, 10.88, 3.22357e-07
_062_, 15.33, 10.88, 2.5212e-07
input6, 15.33, 10.88, 2.5212e-07
input7, 15.33, 10.88, 2.5212e-07
output11, 34.24, 10.88, 2.81889e-07
output14, 34.24, 10.88, 2.81889e-07
FILLER_0_0_63, 34.24, 10.88, 2.81889e-07
FILLER_0_0_70, 34.24, 10.88, 2.81889e-07
input5, 43.34, 10.88, 3.22349e-07
output16, 43.34, 10.88, 3.22349e-07
output17, 43.34, 10.88, 3.22349e-07
FILLER_0_0_77, 43.34, 10.88, 3.22349e-07
FILLER_0_1_88, 43.34, 10.88, 3.22349e-07

