Instance name, X location, Y location, Voltage
FILLER_0_16_29, 21.84, 57.12, 1.8
_098_, 21.84, 51.68, 1.8
_103_, 21.84, 51.68, 1.8
_124_, 21.84, 51.68, 1.8
hold4, 21.84, 51.68, 1.8
_058_, 21.84, 46.24, 1.8
_073_, 21.84, 46.24, 1.8
_101_, 21.84, 46.24, 1.8
_102_, 21.84, 46.24, 1.8
_105_, 21.84, 46.24, 1.8
FILLER_0_14_37, 21.84, 46.24, 1.8
_055_, 21.84, 40.8, 1.8
_059_, 21.84, 40.8, 1.8
_060_, 21.84, 40.8, 1.8
_084_, 21.84, 40.8, 1.8
_097_, 21.84, 40.8, 1.8
hold12, 21.84, 40.8, 1.8
FILLER_0_11_37, 21.84, 40.8, 1.8
_114_, 21.84, 35.36, 1.8
_123_, 21.84, 35.36, 1.8
clkbuf_0_osc_ck, 21.84, 35.36, 1.8
_074_, 21.84, 29.92, 1.8
_106_, 21.84, 29.92, 1.8
hold8, 21.84, 29.92, 1.8
hold9, 21.84, 29.92, 1.8
_072_, 21.84, 24.48, 1.8
_115_, 21.84, 24.48, 1.8
_116_, 21.84, 24.48, 1.8
_075_, 21.84, 19.04, 1.8
_077_, 21.84, 19.04, 1.8
output12, 21.84, 19.04, 1.8
fanout24, 21.84, 19.04, 1.8
hold1, 21.84, 19.04, 1.8
FILLER_0_2_35, 21.84, 19.04, 1.8
FILLER_0_3_38, 21.84, 19.04, 1.8
_062_, 21.84, 13.6, 1.8
_063_, 21.84, 13.6, 1.8
_065_, 21.84, 13.6, 1.8
_068_, 21.84, 13.6, 1.8
input7, 21.84, 13.6, 1.8
output13, 21.84, 13.6, 1.8
output15, 21.84, 13.6, 1.8
output18, 21.84, 13.6, 1.8
FILLER_0_1_46, 21.84, 13.6, 1.8
FILLER_0_2_42, 21.84, 13.6, 1.8
PHY_EDGE_ROW_16_Left_33, 5.52, 57.12, 1.8
PHY_EDGE_ROW_16_Right_16, 52.44, 57.12, 1.8
output20, 32.04, 57.12, 1.8
hold10, 32.04, 57.12, 1.8
FILLER_0_16_77, 42.24, 57.12, 1.8
PHY_EDGE_ROW_14_Left_31, 5.52, 51.68, 1.8
PHY_EDGE_ROW_15_Left_32, 5.52, 51.68, 1.8
FILLER_0_15_3, 5.52, 51.68, 1.8
PHY_EDGE_ROW_14_Right_14, 52.44, 51.68, 1.8
PHY_EDGE_ROW_15_Right_15, 52.44, 51.68, 1.8
_125_, 13.68, 51.68, 1.8
_071_, 32.04, 51.68, 1.8
_100_, 32.04, 51.68, 1.8
_119_, 32.04, 51.68, 1.8
_121_, 32.04, 51.68, 1.8
_089_, 42.24, 51.68, 1.8
hold13, 42.24, 51.68, 1.8
_112_, 5.52, 46.24, 1.8
_129_, 5.52, 46.24, 1.8
PHY_EDGE_ROW_12_Left_29, 5.52, 46.24, 1.8
PHY_EDGE_ROW_13_Left_30, 5.52, 46.24, 1.8
FILLER_0_13_3, 5.52, 46.24, 1.8
FILLER_0_14_3, 5.52, 46.24, 1.8
PHY_EDGE_ROW_12_Right_12, 52.44, 46.24, 1.8
PHY_EDGE_ROW_13_Right_13, 52.44, 46.24, 1.8
FILLER_0_13_95, 52.44, 46.24, 1.8
_104_, 13.68, 46.24, 1.8
_111_, 13.68, 46.24, 1.8
_070_, 32.04, 46.24, 1.8
_085_, 32.04, 46.24, 1.8
_086_, 32.04, 46.24, 1.8
_091_, 32.04, 46.24, 1.8
_099_, 32.04, 46.24, 1.8
_090_, 42.24, 46.24, 1.8
_093_, 42.24, 46.24, 1.8
hold11, 42.24, 46.24, 1.8
_057_, 5.52, 40.8, 1.8
_128_, 5.52, 40.8, 1.8
PHY_EDGE_ROW_10_Left_27, 5.52, 40.8, 1.8
PHY_EDGE_ROW_11_Left_28, 5.52, 40.8, 1.8
PHY_EDGE_ROW_10_Right_10, 52.44, 40.8, 1.8
PHY_EDGE_ROW_11_Right_11, 52.44, 40.8, 1.8
FILLER_0_10_93, 52.44, 40.8, 1.8
_109_, 13.68, 40.8, 1.8
_110_, 13.68, 40.8, 1.8
fanout22, 13.68, 40.8, 1.8
hold15, 13.68, 40.8, 1.8
FILLER_0_11_25, 13.68, 40.8, 1.8
_056_, 32.04, 40.8, 1.8
_096_, 32.04, 40.8, 1.8
_120_, 32.04, 40.8, 1.8
hold7, 32.04, 40.8, 1.8
_088_, 42.24, 40.8, 1.8
FILLER_0_11_89, 42.24, 40.8, 1.8
_108_, 5.52, 35.36, 1.8
PHY_EDGE_ROW_8_Left_25, 5.52, 35.36, 1.8
PHY_EDGE_ROW_9_Left_26, 5.52, 35.36, 1.8
input2, 5.52, 35.36, 1.8
output21, 5.52, 35.36, 1.8
hold5, 5.52, 35.36, 1.8
PHY_EDGE_ROW_8_Right_8, 52.44, 35.36, 1.8
PHY_EDGE_ROW_9_Right_9, 52.44, 35.36, 1.8
FILLER_0_9_92, 52.44, 35.36, 1.8
_107_, 13.68, 35.36, 1.8
clkbuf_1_0__f_osc_ck, 13.68, 35.36, 1.8
_053_, 32.04, 35.36, 1.8
_094_, 32.04, 35.36, 1.8
_095_, 32.04, 35.36, 1.8
_122_, 32.04, 35.36, 1.8
fanout26, 32.04, 35.36, 1.8
_054_, 42.24, 35.36, 1.8
_081_, 42.24, 35.36, 1.8
_092_, 42.24, 35.36, 1.8
clkbuf_1_1__f_osc_ck, 42.24, 35.36, 1.8
hold6, 42.24, 35.36, 1.8
FILLER_0_10_80, 42.24, 35.36, 1.8
_069_, 5.52, 29.92, 1.8
_127_, 5.52, 29.92, 1.8
PHY_EDGE_ROW_6_Left_23, 5.52, 29.92, 1.8
PHY_EDGE_ROW_7_Left_24, 5.52, 29.92, 1.8
PHY_EDGE_ROW_6_Right_6, 52.44, 29.92, 1.8
PHY_EDGE_ROW_7_Right_7, 52.44, 29.92, 1.8
input4, 52.44, 29.92, 1.8
FILLER_0_6_93, 52.44, 29.92, 1.8
_126_, 13.68, 29.92, 1.8
output19, 13.68, 29.92, 1.8
hold2, 13.68, 29.92, 1.8
_052_, 32.04, 29.92, 1.8
_076_, 32.04, 29.92, 1.8
_080_, 32.04, 29.92, 1.8
FILLER_0_7_53, 32.04, 29.92, 1.8
_082_, 42.24, 29.92, 1.8
_087_, 42.24, 29.92, 1.8
FILLER_0_7_90, 42.24, 29.92, 1.8
FILLER_0_8_90, 42.24, 29.92, 1.8
_051_, 5.52, 24.48, 1.8
_131_, 5.52, 24.48, 1.8
PHY_EDGE_ROW_4_Left_21, 5.52, 24.48, 1.8
PHY_EDGE_ROW_5_Left_22, 5.52, 24.48, 1.8
input1, 5.52, 24.48, 1.8
PHY_EDGE_ROW_4_Right_4, 52.44, 24.48, 1.8
PHY_EDGE_ROW_5_Right_5, 52.44, 24.48, 1.8
_113_, 13.68, 24.48, 1.8
input8, 13.68, 24.48, 1.8
output10, 13.68, 24.48, 1.8
_079_, 32.04, 24.48, 1.8
_117_, 32.04, 24.48, 1.8
_118_, 32.04, 24.48, 1.8
hold14, 32.04, 24.48, 1.8
fanout23, 42.24, 24.48, 1.8
FILLER_0_4_77, 42.24, 24.48, 1.8
FILLER_0_6_85, 42.24, 24.48, 1.8
_130_, 5.52, 19.04, 1.8
PHY_EDGE_ROW_2_Left_19, 5.52, 19.04, 1.8
PHY_EDGE_ROW_3_Left_20, 5.52, 19.04, 1.8
output9, 5.52, 19.04, 1.8
_130__27, 5.52, 19.04, 1.8
PHY_EDGE_ROW_2_Right_2, 52.44, 19.04, 1.8
PHY_EDGE_ROW_3_Right_3, 52.44, 19.04, 1.8
FILLER_0_3_93, 52.44, 19.04, 1.8
_050_, 13.68, 19.04, 1.8
FILLER_0_3_25, 13.68, 19.04, 1.8
FILLER_0_4_23, 13.68, 19.04, 1.8
_061_, 32.04, 19.04, 1.8
_078_, 32.04, 19.04, 1.8
_083_, 32.04, 19.04, 1.8
fanout25, 32.04, 19.04, 1.8
hold3, 32.04, 19.04, 1.8
FILLER_0_3_53, 32.04, 19.04, 1.8
FILLER_0_3_57, 32.04, 19.04, 1.8
FILLER_0_2_79, 42.24, 19.04, 1.8
PHY_EDGE_ROW_0_Left_17, 5.52, 13.6, 1.8
PHY_EDGE_ROW_1_Left_18, 5.52, 13.6, 1.8
input3, 5.52, 13.6, 1.8
PHY_EDGE_ROW_0_Right_0, 52.44, 13.6, 1.8
PHY_EDGE_ROW_1_Right_1, 52.44, 13.6, 1.8
FILLER_0_1_96, 52.44, 13.6, 1.8
input6, 13.68, 13.6, 1.8
FILLER_0_2_18, 13.68, 13.6, 1.8
_064_, 32.04, 13.6, 1.8
_066_, 32.04, 13.6, 1.8
_067_, 32.04, 13.6, 1.8
output11, 32.04, 13.6, 1.8
output14, 32.04, 13.6, 1.8
FILLER_0_0_63, 32.04, 13.6, 1.8
input5, 42.24, 13.6, 1.8
output16, 42.24, 13.6, 1.8
output17, 42.24, 13.6, 1.8
FILLER_0_0_70, 42.24, 13.6, 1.8
FILLER_0_0_77, 42.24, 13.6, 1.8
FILLER_0_1_88, 42.24, 13.6, 1.8

