Instance name, X location, Y location, Voltage
_093_, 25.14, 54.4, 2.18062e-06
_097_, 25.14, 54.4, 2.18062e-06
_100_, 25.14, 54.4, 2.18062e-06
output20, 25.14, 54.4, 2.18062e-06
FILLER_0_16_48, 25.14, 54.4, 2.18062e-06
_060_, 25.14, 48.96, 2.39641e-06
_061_, 25.14, 48.96, 2.39641e-06
_094_, 25.14, 48.96, 2.39641e-06
_095_, 25.14, 48.96, 2.39641e-06
_126_, 25.14, 48.96, 2.39641e-06
FILLER_0_15_45, 25.14, 48.96, 2.39641e-06
_089_, 25.14, 43.52, 2.71315e-06
_090_, 25.14, 43.52, 2.71315e-06
_096_, 25.14, 43.52, 2.71315e-06
_109_, 25.14, 43.52, 2.71315e-06
_110_, 25.14, 43.52, 2.71315e-06
_127_, 25.14, 43.52, 2.71315e-06
clkbuf_1_1__f_osc_ck, 25.14, 43.52, 2.71315e-06
FILLER_0_12_39, 25.14, 43.52, 2.71315e-06
_092_, 25.14, 38.08, 3.69336e-06
_104_, 25.14, 38.08, 3.69336e-06
_107_, 25.14, 38.08, 3.69336e-06
_111_, 25.14, 38.08, 3.69336e-06
_130_, 25.14, 38.08, 3.69336e-06
clkbuf_0_osc_ck, 25.14, 38.08, 3.69336e-06
fanout22, 25.14, 38.08, 3.69336e-06
_062_, 25.14, 32.64, 2.32359e-06
_102_, 25.14, 32.64, 2.32359e-06
_103_, 25.14, 32.64, 2.32359e-06
_105_, 25.14, 32.64, 2.32359e-06
_117_, 25.14, 32.64, 2.32359e-06
_118_, 25.14, 32.64, 2.32359e-06
fanout24, 25.14, 32.64, 2.32359e-06
_065_, 25.14, 27.2, 2.55565e-06
_076_, 25.14, 27.2, 2.55565e-06
_136_, 25.14, 27.2, 2.55565e-06
clkbuf_1_0__f_osc_ck, 25.14, 27.2, 2.55565e-06
hold1, 25.14, 27.2, 2.55565e-06
_120_, 25.14, 21.76, 6.54272e-07
_135_, 25.14, 21.76, 6.54272e-07
hold3, 25.14, 21.76, 6.54272e-07
FILLER_0_5_52, 25.14, 21.76, 6.54272e-07
FILLER_0_5_57, 25.14, 21.76, 6.54272e-07
_066_, 25.14, 16.32, 3.0497e-07
_070_, 25.14, 16.32, 3.0497e-07
_072_, 25.14, 16.32, 3.0497e-07
output17, 25.14, 16.32, 3.0497e-07
fanout25, 25.14, 16.32, 3.0497e-07
hold4, 25.14, 16.32, 3.0497e-07
FILLER_0_2_37, 25.14, 16.32, 3.0497e-07
FILLER_0_2_46, 25.14, 16.32, 3.0497e-07
FILLER_0_3_52, 25.14, 16.32, 3.0497e-07
_069_, 25.14, 10.88, 2.49723e-07
_071_, 25.14, 10.88, 2.49723e-07
_073_, 25.14, 10.88, 2.49723e-07
